iso3c,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,total_msw_total_msw_generated_tons_year
SLV,El Salvador,21588556541.6367,65.0,4.0,2.0,7.0,12.0,10.0,,,,1648996.18
SMR,San Marino,1746352442.05298,5.35,5.61,0.9,65.56,13.21,5.6,,1.28,2.49,17174.68
SOM,Somalia,,,,,,,,,,,2326099.17
SRB,Serbia,41308012849.7895,37.62,5.44,1.38,16.72,13.57,12.73,0.4,,12.14,1840000.0
SSD,South Sudan,,,,,,,,,,,2680681.0
STP,São Tomé and Príncipe,256822056.30447,,,,,,,,,,25586.5
SUR,Suriname,4527379878.73403,57.0,3.0,3.0,24.0,,11.0,,,,78619.79914999999
SVK,Slovak Republic,104679102604.032,42.0,19.0,2.0,1.0,25.0,11.0,,,,1784000.0
SVN,Slovenia,50511749001.8176,,,,,,,,,,926000.0
SWE,Sweden,560386605247.826,23.34,9.15,9.2,,36.4,6.58,,,15.33,4377000.0
SWZ,Eswatini,5246492515.70071,,,,,,,,,,218199.47
SYC,Seychelles,1287449682.77196,48.5,5.2,4.6,25.800000000000004,5.9,9.9,0.2,0.5,,48000.0
SYR,Syrian Arab Republic,,57.0,3.0,4.0,22.0,7.0,7.0,,,,4500000.0
TCD,Chad,12642608725.1014,70.0,1.0,2.0,18.0,3.0,6.0,,,,1358850.53
TGO,Togo,4264876064.32914,38.0,2.0,4.0,42.0,4.0,10.0,,,,1109030.45
THA,Thailand,407014670809.508,65.52,3.04,1.85,4.74,7.6,17.59,0.46,0.8,,26853366.0
TJK,Tajikistan,8458800787.50718,,,,,,,,,,1787400.0
TKM,Turkmenistan,39563379205.5788,16.18,4.64,11.44,62.540000000000006,,2.19,,3.01,,500000.0
TLS,Timor-Leste,3765074846.66977,43.6,5.5,10.0,9.3,10.9,16.5,4.2,,,63875.0
TON,Tonga,406237705.331704,51.3,5.9,9.0,8.9,7.4,13.4,4.1,,,17238.20175
TTO,Trinidad and Tobago,21519942194.5088,27.15,10.15,3.74,17.19,22.6,19.17,,,,727874.0
TUN,Tunisia,48682059522.1461,68.0,2.0,4.0,5.0,10.0,11.0,,,,2700000.0
TUR,Turkey,1122511654795.59,64.0,2.0,1.0,24.0,6.0,3.0,,,,31283000.0
TUV,Tuvalu,39216157.2756995,43.6,5.5,10.0,9.3,10.9,16.5,4.2,,,3989.4865
TWN,,,23.34,4.11,3.07,14.11,30.01,20.23,0.6,,4.43,7336000.0
TZA,Tanzania,46775259595.7984,,,,,,,,,,9276995.0
UGA,Uganda,27483055271.6416,74.5,0.8,0.6,10.6,6.0,7.6,,,,7045049.836
UKR,Ukraine,124000201623.066,37.0,5.0,4.0,22.0,25.0,7.0,,,,15242025.0
URY,Uruguay,48362932954.0502,53.5,3.0,5.0,7.5,20.0,11.0,,,,1260139.5086500002
USA,United States,16920327941800.0,14.9,4.4,9.0,3.2,26.6,12.9,9.5,6.2,13.3,258000000.0
UZB,Uzbekistan,62469088151.5761,40.0,3.0,2.0,17.5,17.5,2.5,1.5,4.0,,4000000.0
VCT,St. Vincent and the Grenadines,729264939.598432,49.6,5.6,3.8,10.5,22.1,8.4,,,,31561.34925
VEN,"Venezuela, RB",,,,,,,,,,,9779093.14
VGB,British Virgin Islands,,6.5,18.1,8.6,4.8,33.5,6.3,,22.2,,21099.19
VIR,Virgin Islands (U.S.),,46.0,7.0,7.0,12.0,15.0,13.0,,,,146500.0
VNM,Vietnam,164104855205.203,61.9,2.18,0.58,15.18,5.2,12.15,0.6,3.74,,9570300.0
VUT,Vanuatu,777052317.457476,73.4,5.4,3.8,5.7,4.05,6.45,1.2,,,70225.489
WSM,Samoa,738041747.031935,42.6,2.2,8.8,19.4,7.2,13.0,6.8,,,27399.09
XKX,Kosovo,7129271791.56854,42.0,6.0,6.0,20.0,8.0,11.0,,7.0,,319000.0
YEM,"Yemen, Rep.",11927030389.4484,65.0,1.0,6.0,6.0,7.0,10.0,1.0,3.0,1.0,4836820.0
ZAF,South Africa,421208662669.69,16.381654627302726,5.200216370472019,16.9104608968452,45.02064556592234,9.396918237794267,7.090104301663434,,,,18457232.0
ZMB,Zambia,27037168289.1747,,,,,,,,,,2608268.0
ZWE,Zimbabwe,14818986230.9668,36.0,5.0,6.0,3.0,27.0,23.0,,,,1449752.0
